Essai;Temps_frame;Temps_sequence;Pixel_par_seconde
0;33.527010;6671.875000;2290690.398126
1;32.820352;6531.250000;2340011.483254
2;37.766960;7515.625000;2033523.492723
3;35.804020;7125.000000;2145010.526316
4;34.155151;6796.875000;2248562.758621
5;34.312186;6828.125000;2238271.853547
6;33.448492;6656.250000;2296067.605634
7;34.155151;6796.875000;2248562.758621
8;33.762563;6718.750000;2274708.837209
9;32.741834;6515.625000;2345623.021583
10;35.646985;7093.750000;2154459.911894
11;34.547739;6875.000000;2223010.909091
12;36.039573;7171.875000;2130990.849673
13;36.667714;7296.875000;2094485.653105
14;33.369975;6640.625000;2301470.117647
15;33.212940;6609.375000;2312351.773050
16;32.977387;6562.500000;2328868.571429
17;33.919598;6750.000000;2264177.777778
18;33.605528;6687.500000;2285338.317757
19;34.155151;6796.875000;2248562.758621
20;35.804020;7125.000000;2145010.526316
21;33.919598;6750.000000;2264177.777778
22;33.291457;6625.000000;2306898.113208
23;32.977387;6562.500000;2328868.571429
24;32.977387;6562.500000;2328868.571429
25;33.291457;6625.000000;2306898.113208
26;33.684045;6703.125000;2280011.188811
27;34.233668;6812.500000;2243405.504587
28;33.998116;6765.625000;2258948.729792
29;34.783291;6921.875000;2207956.659142
30;33.605528;6687.500000;2285338.317757
31;35.725503;7109.375000;2149724.835165
32;36.275126;7218.750000;2117153.246753
33;36.039573;7171.875000;2130990.849673
34;32.898869;6546.875000;2334426.730310
35;32.977387;6562.500000;2328868.571429
36;33.919598;6750.000000;2264177.777778
37;33.134422;6593.750000;2317831.279621
38;32.584799;6484.375000;2356927.228916
39;32.820352;6531.250000;2340011.483254
40;33.684045;6703.125000;2280011.188811
41;30.543342;6078.125000;2514459.640103
42;31.485553;6265.625000;2439213.965087
43;31.092965;6187.500000;2470012.121212
44;30.072236;5984.375000;2553850.652742
45;30.307789;6031.250000;2534002.072539
46;30.621859;6093.750000;2508012.307692
47;30.150754;6000.000000;2547200.000000
48;31.014447;6171.875000;2476265.316456
49;30.778894;6125.000000;2495216.326531
50;30.778894;6125.000000;2495216.326531
51;31.092965;6187.500000;2470012.121212
52;30.857412;6140.625000;2488867.175573
53;30.464824;6062.500000;2520940.206186
54;30.857412;6140.625000;2488867.175573
55;31.328518;6234.375000;2451440.601504
56;30.621859;6093.750000;2508012.307692
57;30.543342;6078.125000;2514459.640103
58;30.307789;6031.250000;2534002.072539
59;31.328518;6234.375000;2451440.601504
60;30.307789;6031.250000;2534002.072539
61;30.307789;6031.250000;2534002.072539
62;30.857412;6140.625000;2488867.175573
63;30.464824;6062.500000;2520940.206186
64;30.857412;6140.625000;2488867.175573
65;30.386307;6046.875000;2527454.263566
66;31.171482;6203.125000;2463790.428212
67;30.621859;6093.750000;2508012.307692
68;31.250000;6218.750000;2457600.000000
69;30.464824;6062.500000;2520940.206186
70;30.935930;6156.250000;2482550.253807
71;30.386307;6046.875000;2527454.263566
72;30.543342;6078.125000;2514459.640103
73;31.092965;6187.500000;2470012.121212
74;31.328518;6234.375000;2451440.601504
75;30.700377;6109.375000;2501597.953964
76;30.935930;6156.250000;2482550.253807
77;30.621859;6093.750000;2508012.307692
78;30.464824;6062.500000;2520940.206186
79;30.778894;6125.000000;2495216.326531
80;31.564070;6281.250000;2433146.268657
81;31.250000;6218.750000;2457600.000000
82;31.642588;6296.875000;2427108.684864
83;30.229271;6015.625000;2540583.896104
84;30.857412;6140.625000;2488867.175573
85;30.307789;6031.250000;2534002.072539
86;30.778894;6125.000000;2495216.326531
87;30.464824;6062.500000;2520940.206186
88;30.464824;6062.500000;2520940.206186
89;30.778894;6125.000000;2495216.326531
90;31.799623;6328.125000;2415122.962963
91;31.328518;6234.375000;2451440.601504
92;31.407035;6250.000000;2445312.000000
93;31.407035;6250.000000;2445312.000000
94;31.642588;6296.875000;2427108.684864
95;31.250000;6218.750000;2457600.000000
96;31.564070;6281.250000;2433146.268657
97;32.035176;6375.000000;2397364.705882
98;32.113693;6390.625000;2391503.178484
99;31.171482;6203.125000;2463790.428212
100;31.564070;6281.250000;2433146.268657
101;31.328518;6234.375000;2451440.601504
102;29.915201;5953.125000;2567256.692913
103;31.878141;6343.750000;2409174.384236
104;31.878141;6343.750000;2409174.384236
105;31.014447;6171.875000;2476265.316456
106;32.349246;6437.500000;2374089.320388
107;30.857412;6140.625000;2488867.175573
108;31.092965;6187.500000;2470012.121212
109;30.386307;6046.875000;2527454.263566
110;30.386307;6046.875000;2527454.263566
111;30.464824;6062.500000;2520940.206186
112;30.935930;6156.250000;2482550.253807
113;31.407035;6250.000000;2445312.000000
114;30.700377;6109.375000;2501597.953964
115;30.778894;6125.000000;2495216.326531
116;30.700377;6109.375000;2501597.953964
117;30.307789;6031.250000;2534002.072539
118;30.778894;6125.000000;2495216.326531
119;30.072236;5984.375000;2553850.652742
120;30.857412;6140.625000;2488867.175573
121;31.014447;6171.875000;2476265.316456
122;31.092965;6187.500000;2470012.121212
123;29.915201;5953.125000;2567256.692913
124;30.778894;6125.000000;2495216.326531
125;30.464824;6062.500000;2520940.206186
126;31.014447;6171.875000;2476265.316456
127;31.171482;6203.125000;2463790.428212
128;30.543342;6078.125000;2514459.640103
129;30.621859;6093.750000;2508012.307692
130;30.543342;6078.125000;2514459.640103
131;30.778894;6125.000000;2495216.326531
132;30.935930;6156.250000;2482550.253807
133;30.935930;6156.250000;2482550.253807
134;30.621859;6093.750000;2508012.307692
135;30.857412;6140.625000;2488867.175573
136;30.700377;6109.375000;2501597.953964
137;31.171482;6203.125000;2463790.428212
138;31.250000;6218.750000;2457600.000000
139;30.935930;6156.250000;2482550.253807
140;31.328518;6234.375000;2451440.601504
141;30.464824;6062.500000;2520940.206186
142;31.250000;6218.750000;2457600.000000
143;31.878141;6343.750000;2409174.384236
144;31.328518;6234.375000;2451440.601504
145;31.250000;6218.750000;2457600.000000
146;31.407035;6250.000000;2445312.000000
147;31.250000;6218.750000;2457600.000000
148;31.564070;6281.250000;2433146.268657
149;31.014447;6171.875000;2476265.316456
150;31.956658;6359.375000;2403255.036855
151;31.721106;6312.500000;2421100.990099
152;31.250000;6218.750000;2457600.000000
153;31.407035;6250.000000;2445312.000000
154;30.935930;6156.250000;2482550.253807
155;31.799623;6328.125000;2415122.962963
156;32.663317;6500.000000;2351261.538462
157;32.113693;6390.625000;2391503.178484
158;31.250000;6218.750000;2457600.000000
159;31.092965;6187.500000;2470012.121212
160;31.642588;6296.875000;2427108.684864
161;32.820352;6531.250000;2340011.483254
162;31.956658;6359.375000;2403255.036855
163;31.485553;6265.625000;2439213.965087
164;31.014447;6171.875000;2476265.316456
165;31.721106;6312.500000;2421100.990099
166;32.584799;6484.375000;2356927.228916
167;30.935930;6156.250000;2482550.253807
168;31.092965;6187.500000;2470012.121212
169;31.721106;6312.500000;2421100.990099
170;31.250000;6218.750000;2457600.000000
171;31.092965;6187.500000;2470012.121212
172;32.270729;6421.875000;2379865.693431
173;30.935930;6156.250000;2482550.253807
174;31.092965;6187.500000;2470012.121212
175;31.014447;6171.875000;2476265.316456
176;32.427764;6453.125000;2368340.920097
177;31.721106;6312.500000;2421100.990099
178;30.857412;6140.625000;2488867.175573
179;31.485553;6265.625000;2439213.965087
180;32.663317;6500.000000;2351261.538462
181;30.464824;6062.500000;2520940.206186
182;31.564070;6281.250000;2433146.268657
183;30.621859;6093.750000;2508012.307692
184;31.407035;6250.000000;2445312.000000
185;32.349246;6437.500000;2374089.320388
186;32.113693;6390.625000;2391503.178484
187;31.564070;6281.250000;2433146.268657
188;31.407035;6250.000000;2445312.000000
189;31.407035;6250.000000;2445312.000000
190;31.642588;6296.875000;2427108.684864
191;30.543342;6078.125000;2514459.640103
192;32.977387;6562.500000;2328868.571429
193;31.799623;6328.125000;2415122.962963
194;30.935930;6156.250000;2482550.253807
195;32.663317;6500.000000;2351261.538462
196;30.778894;6125.000000;2495216.326531
197;30.778894;6125.000000;2495216.326531
198;31.250000;6218.750000;2457600.000000
199;32.427764;6453.125000;2368340.920097
200;31.485553;6265.625000;2439213.965087
201;30.778894;6125.000000;2495216.326531
202;30.778894;6125.000000;2495216.326531
203;30.778894;6125.000000;2495216.326531
204;31.328518;6234.375000;2451440.601504
205;33.527010;6671.875000;2290690.398126
206;32.192211;6406.250000;2385670.243902
207;32.035176;6375.000000;2397364.705882
208;31.250000;6218.750000;2457600.000000
209;31.092965;6187.500000;2470012.121212
210;30.857412;6140.625000;2488867.175573
211;31.014447;6171.875000;2476265.316456
212;31.092965;6187.500000;2470012.121212
213;32.035176;6375.000000;2397364.705882
214;30.072236;5984.375000;2553850.652742
215;31.878141;6343.750000;2409174.384236
216;31.721106;6312.500000;2421100.990099
217;33.841080;6734.375000;2269431.090487
218;32.741834;6515.625000;2345623.021583
219;31.485553;6265.625000;2439213.965087
220;31.171482;6203.125000;2463790.428212
221;31.328518;6234.375000;2451440.601504
222;31.485553;6265.625000;2439213.965087
223;31.092965;6187.500000;2470012.121212
224;32.349246;6437.500000;2374089.320388
225;31.564070;6281.250000;2433146.268657
226;31.250000;6218.750000;2457600.000000
227;32.820352;6531.250000;2340011.483254
228;31.407035;6250.000000;2445312.000000
229;31.171482;6203.125000;2463790.428212
230;31.642588;6296.875000;2427108.684864
231;31.092965;6187.500000;2470012.121212
232;31.250000;6218.750000;2457600.000000
233;31.485553;6265.625000;2439213.965087
234;31.878141;6343.750000;2409174.384236
235;31.799623;6328.125000;2415122.962963
236;31.407035;6250.000000;2445312.000000
237;30.543342;6078.125000;2514459.640103
238;31.564070;6281.250000;2433146.268657
239;31.014447;6171.875000;2476265.316456
240;31.407035;6250.000000;2445312.000000
241;31.642588;6296.875000;2427108.684864
242;31.407035;6250.000000;2445312.000000
243;30.307789;6031.250000;2534002.072539
244;32.113693;6390.625000;2391503.178484
245;30.700377;6109.375000;2501597.953964
246;30.857412;6140.625000;2488867.175573
247;31.407035;6250.000000;2445312.000000
248;31.878141;6343.750000;2409174.384236
249;33.291457;6625.000000;2306898.113208
250;30.935930;6156.250000;2482550.253807
251;31.250000;6218.750000;2457600.000000
252;30.700377;6109.375000;2501597.953964
253;31.250000;6218.750000;2457600.000000
254;31.564070;6281.250000;2433146.268657
255;31.250000;6218.750000;2457600.000000
256;31.799623;6328.125000;2415122.962963
257;31.485553;6265.625000;2439213.965087
258;31.485553;6265.625000;2439213.965087
259;31.092965;6187.500000;2470012.121212
260;30.778894;6125.000000;2495216.326531
261;30.778894;6125.000000;2495216.326531
262;31.092965;6187.500000;2470012.121212
263;32.427764;6453.125000;2368340.920097
264;31.799623;6328.125000;2415122.962963
265;33.762563;6718.750000;2274708.837209
266;31.564070;6281.250000;2433146.268657
267;30.778894;6125.000000;2495216.326531
268;30.621859;6093.750000;2508012.307692
269;31.328518;6234.375000;2451440.601504
270;30.857412;6140.625000;2488867.175573
271;31.799623;6328.125000;2415122.962963
272;31.485553;6265.625000;2439213.965087
273;30.700377;6109.375000;2501597.953964
274;31.171482;6203.125000;2463790.428212
275;32.663317;6500.000000;2351261.538462
276;31.721106;6312.500000;2421100.990099
277;32.113693;6390.625000;2391503.178484
278;30.621859;6093.750000;2508012.307692
279;32.741834;6515.625000;2345623.021583
280;31.721106;6312.500000;2421100.990099
281;31.485553;6265.625000;2439213.965087
282;31.407035;6250.000000;2445312.000000
283;31.092965;6187.500000;2470012.121212
284;32.192211;6406.250000;2385670.243902
285;30.700377;6109.375000;2501597.953964
286;30.307789;6031.250000;2534002.072539
287;31.564070;6281.250000;2433146.268657
288;32.663317;6500.000000;2351261.538462
289;30.857412;6140.625000;2488867.175573
290;31.485553;6265.625000;2439213.965087
291;31.407035;6250.000000;2445312.000000
292;31.328518;6234.375000;2451440.601504
293;30.857412;6140.625000;2488867.175573
294;31.014447;6171.875000;2476265.316456
295;31.721106;6312.500000;2421100.990099
296;31.171482;6203.125000;2463790.428212
297;31.092965;6187.500000;2470012.121212
298;31.485553;6265.625000;2439213.965087
299;31.642588;6296.875000;2427108.684864
