Essai;Temps_frame;Temps_sequence;Pixel_par_seconde
0;12.327261;2453.125000;6230094.267516
1;13.033920;2593.750000;5892318.072289
2;12.484296;2484.375000;6151728.301887
3;13.662060;2718.750000;5621406.896552
4;12.562814;2500.000000;6113280.000000
5;13.033920;2593.750000;5892318.072289
6;12.798367;2546.875000;6000765.644172
7;12.798367;2546.875000;6000765.644172
8;12.876884;2562.500000;5964175.609756
9;12.641332;2515.625000;6075309.316770
10;12.641332;2515.625000;6075309.316770
11;12.955402;2578.125000;5928029.090909
12;12.641332;2515.625000;6075309.316770
13;12.562814;2500.000000;6113280.000000
14;12.641332;2515.625000;6075309.316770
15;12.641332;2515.625000;6075309.316770
16;12.248744;2437.500000;6270030.769231
17;13.662060;2718.750000;5621406.896552
18;12.327261;2453.125000;6230094.267516
19;13.897613;2765.625000;5526128.813559
20;12.170226;2421.875000;6310482.580645
21;12.484296;2484.375000;6151728.301887
22;13.269472;2640.625000;5787720.710059
23;12.876884;2562.500000;5964175.609756
24;12.484296;2484.375000;6151728.301887
25;12.327261;2453.125000;6230094.267516
26;12.484296;2484.375000;6151728.301887
27;12.484296;2484.375000;6151728.301887
28;13.190955;2625.000000;5822171.428571
29;12.798367;2546.875000;6000765.644172
30;12.719849;2531.250000;6037807.407407
31;13.976131;2781.250000;5495083.146067
32;12.405779;2468.750000;6190663.291139
33;13.190955;2625.000000;5822171.428571
34;14.054648;2796.875000;5464384.357542
35;12.248744;2437.500000;6270030.769231
36;12.955402;2578.125000;5928029.090909
37;13.033920;2593.750000;5892318.072289
38;13.190955;2625.000000;5822171.428571
39;13.269472;2640.625000;5787720.710059
40;12.562814;2500.000000;6113280.000000
41;12.955402;2578.125000;5928029.090909
42;13.662060;2718.750000;5621406.896552
43;12.484296;2484.375000;6151728.301887
44;13.269472;2640.625000;5787720.710059
45;13.269472;2640.625000;5787720.710059
46;12.562814;2500.000000;6113280.000000
47;13.347990;2656.250000;5753675.294118
48;13.426508;2671.875000;5720028.070175
49;12.955402;2578.125000;5928029.090909
50;13.740578;2734.375000;5589284.571429
51;13.190955;2625.000000;5822171.428571
52;12.876884;2562.500000;5964175.609756
53;12.484296;2484.375000;6151728.301887
54;12.798367;2546.875000;6000765.644172
55;12.876884;2562.500000;5964175.609756
56;13.190955;2625.000000;5822171.428571
57;13.033920;2593.750000;5892318.072289
58;13.347990;2656.250000;5753675.294118
59;13.269472;2640.625000;5787720.710059
60;14.604271;2906.250000;5258735.483871
61;12.248744;2437.500000;6270030.769231
62;13.505025;2687.500000;5686772.093023
63;13.190955;2625.000000;5822171.428571
64;12.719849;2531.250000;6037807.407407
65;13.033920;2593.750000;5892318.072289
66;13.819095;2750.000000;5557527.272727
67;13.426508;2671.875000;5720028.070175
68;13.269472;2640.625000;5787720.710059
69;13.033920;2593.750000;5892318.072289
