Essai;Temps_frame;Temps_sequence;Pixel_par_seconde
0;31.642588;6296.875000;2427108.684864
1;31.485553;6265.625000;2439213.965087
2;32.506281;6468.750000;2362620.289855
3;31.564070;6281.250000;2433146.268657
4;32.506281;6468.750000;2362620.289855
5;31.956658;6359.375000;2403255.036855
6;33.448492;6656.250000;2296067.605634
7;32.113693;6390.625000;2391503.178484
8;33.212940;6609.375000;2312351.773050
9;33.291457;6625.000000;2306898.113208
10;32.506281;6468.750000;2362620.289855
11;33.134422;6593.750000;2317831.279621
12;31.407035;6250.000000;2445312.000000
13;32.820352;6531.250000;2340011.483254
14;32.113693;6390.625000;2391503.178484
15;33.527010;6671.875000;2290690.398126
16;32.820352;6531.250000;2340011.483254
17;33.448492;6656.250000;2296067.605634
18;31.721106;6312.500000;2421100.990099
19;32.584799;6484.375000;2356927.228916
20;32.741834;6515.625000;2345623.021583
21;33.212940;6609.375000;2312351.773050
22;31.799623;6328.125000;2415122.962963
23;32.584799;6484.375000;2356927.228916
24;32.977387;6562.500000;2328868.571429
25;32.192211;6406.250000;2385670.243902
26;32.820352;6531.250000;2340011.483254
27;32.035176;6375.000000;2397364.705882
28;31.799623;6328.125000;2415122.962963
29;32.506281;6468.750000;2362620.289855
30;32.820352;6531.250000;2340011.483254
31;32.663317;6500.000000;2351261.538462
32;33.212940;6609.375000;2312351.773050
33;30.543342;6078.125000;2514459.640103
34;32.113693;6390.625000;2391503.178484
35;32.506281;6468.750000;2362620.289855
36;33.055905;6578.125000;2323336.817102
37;32.663317;6500.000000;2351261.538462
38;32.349246;6437.500000;2374089.320388
39;32.349246;6437.500000;2374089.320388
40;32.113693;6390.625000;2391503.178484
41;31.878141;6343.750000;2409174.384236
42;32.270729;6421.875000;2379865.693431
43;31.485553;6265.625000;2439213.965087
44;33.527010;6671.875000;2290690.398126
45;32.820352;6531.250000;2340011.483254
46;33.134422;6593.750000;2317831.279621
47;32.741834;6515.625000;2345623.021583
48;32.977387;6562.500000;2328868.571429
49;32.427764;6453.125000;2368340.920097
50;32.427764;6453.125000;2368340.920097
51;32.506281;6468.750000;2362620.289855
52;32.427764;6453.125000;2368340.920097
53;33.998116;6765.625000;2258948.729792
54;32.035176;6375.000000;2397364.705882
55;31.407035;6250.000000;2445312.000000
56;33.055905;6578.125000;2323336.817102
57;31.485553;6265.625000;2439213.965087
58;32.584799;6484.375000;2356927.228916
59;33.605528;6687.500000;2285338.317757
60;32.427764;6453.125000;2368340.920097
61;31.014447;6171.875000;2476265.316456
62;32.349246;6437.500000;2374089.320388
63;32.349246;6437.500000;2374089.320388
64;31.485553;6265.625000;2439213.965087
65;31.721106;6312.500000;2421100.990099
66;32.977387;6562.500000;2328868.571429
67;31.956658;6359.375000;2403255.036855
68;33.527010;6671.875000;2290690.398126
69;33.527010;6671.875000;2290690.398126
70;32.349246;6437.500000;2374089.320388
71;31.485553;6265.625000;2439213.965087
72;32.663317;6500.000000;2351261.538462
73;32.820352;6531.250000;2340011.483254
74;33.134422;6593.750000;2317831.279621
75;32.977387;6562.500000;2328868.571429
76;31.878141;6343.750000;2409174.384236
77;33.134422;6593.750000;2317831.279621
78;32.192211;6406.250000;2385670.243902
79;31.878141;6343.750000;2409174.384236
80;32.427764;6453.125000;2368340.920097
81;33.134422;6593.750000;2317831.279621
82;32.349246;6437.500000;2374089.320388
