Essai;Temps_frame;Temps_sequence;Pixel_par_seconde
0;0.471106;93.750000;163020800.000000
1;0.549623;109.375000;139732114.285714
2;0.549623;109.375000;139732114.285714
3;0.628141;125.000000;122265600.000000
4;0.628141;125.000000;122265600.000000
5;0.392588;78.125000;195624960.000000
6;0.785176;156.250000;97812480.000000
7;0.706658;140.625000;108680533.333333
8;0.628141;125.000000;122265600.000000
9;0.706658;140.625000;108680533.333333
10;0.471106;93.750000;163020800.000000
11;0.785176;156.250000;97812480.000000
12;0.863693;171.875000;88920436.363636
13;0.785176;156.250000;97812480.000000
14;0.942211;187.500000;81510400.000000
15;0.785176;156.250000;97812480.000000
16;0.471106;93.750000;163020800.000000
17;0.549623;109.375000;139732114.285714
18;0.471106;93.750000;163020800.000000
19;0.628141;125.000000;122265600.000000
20;0.942211;187.500000;81510400.000000
21;0.785176;156.250000;97812480.000000
22;0.471106;93.750000;163020800.000000
23;0.785176;156.250000;97812480.000000
24;0.706658;140.625000;108680533.333333
25;0.471106;93.750000;163020800.000000
26;0.471106;93.750000;163020800.000000
27;0.628141;125.000000;122265600.000000
28;0.628141;125.000000;122265600.000000
29;0.785176;156.250000;97812480.000000
30;0.628141;125.000000;122265600.000000
31;0.706658;140.625000;108680533.333333
32;0.863693;171.875000;88920436.363636
33;1.099246;218.750000;69866057.142857
34;0.706658;140.625000;108680533.333333
35;0.392588;78.125000;195624960.000000
36;0.785176;156.250000;97812480.000000
37;1.099246;218.750000;69866057.142857
38;0.863693;171.875000;88920436.363636
39;0.628141;125.000000;122265600.000000
40;0.471106;93.750000;163020800.000000
41;0.706658;140.625000;108680533.333333
42;0.628141;125.000000;122265600.000000
43;0.549623;109.375000;139732114.285714
44;0.706658;140.625000;108680533.333333
45;0.706658;140.625000;108680533.333333
46;0.863693;171.875000;88920436.363636
47;0.549623;109.375000;139732114.285714
48;0.706658;140.625000;108680533.333333
49;0.706658;140.625000;108680533.333333
50;1.334799;265.625000;57536752.941176
51;0.628141;125.000000;122265600.000000
52;0.706658;140.625000;108680533.333333
53;0.785176;156.250000;97812480.000000
54;0.785176;156.250000;97812480.000000
55;0.549623;109.375000;139732114.285714
56;0.235553;46.875000;326041600.000000
57;0.628141;125.000000;122265600.000000
58;0.392588;78.125000;195624960.000000
59;0.549623;109.375000;139732114.285714
60;1.020729;203.125000;75240369.230769
61;0.863693;171.875000;88920436.363636
62;0.863693;171.875000;88920436.363636
63;0.863693;171.875000;88920436.363636
64;0.314070;62.500000;244531200.000000
65;0.706658;140.625000;108680533.333333
66;0.706658;140.625000;108680533.333333
67;0.628141;125.000000;122265600.000000
68;0.706658;140.625000;108680533.333333
69;0.628141;125.000000;122265600.000000
70;0.549623;109.375000;139732114.285714
71;0.628141;125.000000;122265600.000000
72;0.706658;140.625000;108680533.333333
73;0.785176;156.250000;97812480.000000
74;0.628141;125.000000;122265600.000000
75;0.785176;156.250000;97812480.000000
76;0.706658;140.625000;108680533.333333
77;0.628141;125.000000;122265600.000000
78;0.863693;171.875000;88920436.363636
79;0.706658;140.625000;108680533.333333
80;0.471106;93.750000;163020800.000000
81;0.628141;125.000000;122265600.000000
82;0.706658;140.625000;108680533.333333
83;0.942211;187.500000;81510400.000000
84;0.392588;78.125000;195624960.000000
85;0.628141;125.000000;122265600.000000
86;0.785176;156.250000;97812480.000000
87;0.471106;93.750000;163020800.000000
88;0.628141;125.000000;122265600.000000
89;0.785176;156.250000;97812480.000000
90;0.392588;78.125000;195624960.000000
91;0.942211;187.500000;81510400.000000
92;0.628141;125.000000;122265600.000000
93;0.942211;187.500000;81510400.000000
94;0.549623;109.375000;139732114.285714
95;0.706658;140.625000;108680533.333333
96;0.549623;109.375000;139732114.285714
97;0.706658;140.625000;108680533.333333
98;0.706658;140.625000;108680533.333333
99;0.942211;187.500000;81510400.000000
100;0.549623;109.375000;139732114.285714
101;0.785176;156.250000;97812480.000000
102;0.785176;156.250000;97812480.000000
103;0.863693;171.875000;88920436.363636
104;0.785176;156.250000;97812480.000000
105;0.785176;156.250000;97812480.000000
106;0.471106;93.750000;163020800.000000
107;0.392588;78.125000;195624960.000000
108;0.549623;109.375000;139732114.285714
109;0.785176;156.250000;97812480.000000
110;0.628141;125.000000;122265600.000000
111;0.706658;140.625000;108680533.333333
112;0.314070;62.500000;244531200.000000
113;0.785176;156.250000;97812480.000000
114;0.471106;93.750000;163020800.000000
115;0.785176;156.250000;97812480.000000
116;0.706658;140.625000;108680533.333333
117;0.863693;171.875000;88920436.363636
118;0.785176;156.250000;97812480.000000
119;0.863693;171.875000;88920436.363636
120;0.392588;78.125000;195624960.000000
121;0.785176;156.250000;97812480.000000
122;0.471106;93.750000;163020800.000000
123;0.706658;140.625000;108680533.333333
124;0.628141;125.000000;122265600.000000
125;0.549623;109.375000;139732114.285714
126;0.706658;140.625000;108680533.333333
127;0.863693;171.875000;88920436.363636
128;0.549623;109.375000;139732114.285714
129;0.392588;78.125000;195624960.000000
130;0.785176;156.250000;97812480.000000
