Essai;Temps_frame;Pixel_par_seconde
0;0.042186;8.395000;1820512209.648599
1;0.015221;3.029000;5045625619.016179
2;0.040779;8.115000;1883327171.903883
3;0.013990;2.784000;5489655172.413769
4;0.028010;5.574000;2741872981.700742
5;0.022789;4.535000;3370055126.791618
6;0.052221;10.392000;1470669745.958431
7;0.051804;10.309000;1482510427.781564
8;0.054402;10.826000;1411712543.875854
9;0.022709;4.519000;3381987165.302062
10;0.033729;6.712000;2276996424.314652
11;0.013628;2.712000;5635398230.088454
12;0.021095;4.198000;3640590757.503591
13;0.051296;10.208000;1497178683.385589
14;0.038844;7.730000;1977128072.445016
15;0.041588;8.276000;1846689221.846295
16;0.041985;8.355000;1829228007.181334
17;0.026352;5.244000;2914416475.972526
18;0.037849;7.532000;2029102496.016991
19;0.047090;9.371000;1630903852.310326
20;0.027095;5.392000;2834421364.985159
21;0.014492;2.884000;5299306518.723948
22;0.020940;4.167000;3667674586.033089
23;0.039849;7.930000;1927263556.116044
24;0.037779;7.518000;2032881085.395045
25;0.026648;5.303000;2881991325.664777
26;0.006714;1.336000;11439520958.082850
27;0.051568;10.262000;1489300331.319432
28;0.051241;10.197000;1498793762.871398
29;0.023683;4.713000;3242775302.355172
30;0.033392;6.645000;2299954853.273114
31;0.014734;2.932000;5212551159.618125
32;0.054462;10.838000;1410149474.072676
33;0.034789;6.923000;2207597862.198483
34;0.051799;10.308000;1482654249.126838
35;0.037261;7.415000;2061119352.663518
36;0.015563;3.097000;4934840167.904928
37;0.027945;5.561000;2748282682.970725
38;0.027166;5.406000;2827081021.087698
39;0.037432;7.449000;2051711639.146321
40;0.009729;1.936000;7894214876.033311
41;0.022789;4.535000;3370055126.791571
42;0.051744;10.297000;1484238127.609919
43;0.037417;7.446000;2052538275.584158
44;0.037005;7.364000;2075393807.713251
45;0.012347;2.457000;6220268620.268934
46;0.034623;6.890000;2218171262.699491
47;0.035060;6.977000;2190511681.238264
48;0.027995;5.571000;2743349488.422163
49;0.021603;4.299000;3555059316.119709
50;0.034126;6.791000;2250508025.327698
51;0.013090;2.605000;5866871401.151577
52;0.023653;4.707000;3246908859.145979
53;0.018920;3.765000;4059282868.525877
54;0.013673;2.721000;5616758544.652641
55;0.051156;10.180000;1501296660.117998
56;0.037276;7.418000;2060285791.318528
57;0.023136;4.604000;3319548218.939934
58;0.050965;10.142000;1506921711.694014
59;0.003673;0.731000;20907250341.996201
60;0.000000;0.000000;inf
61;0.024910;4.957000;3083155134.153522
62;0.051487;10.246000;1491626000.390351
63;0.034121;6.790000;2250839469.808739
64;0.000000;0.000000;inf
65;0.055327;11.010000;1388119891.008249
66;0.014131;2.812000;5434992887.624395
67;0.042533;8.464000;1805671077.504744
68;0.037593;7.481000;2042935436.439232
69;0.051734;10.295000;1484526469.159746
70;0.035055;6.976000;2190825688.073191
71;0.025181;5.011000;3049930153.662019
72;0.016447;3.273000;4669477543.537922
73;0.041975;8.353000;1829665988.267603
74;0.014020;2.790000;5477849462.364799
75;0.014010;2.788000;5481779053.084406
76;0.035693;7.103000;2151654230.606660
77;0.034045;6.775000;2255822878.228901
78;0.013467;2.680000;5702686567.165564
79;0.051055;10.160000;1504251968.504027
80;0.060734;12.086000;1264537481.383426
81;0.028412;5.654000;2703077467.279832
82;0.027442;5.461000;2798608313.495956
83;0.019683;3.917000;3901761552.209038
84;0.021915;4.361000;3504517312.543304
85;0.011090;2.207000;6924875396.465919
86;0.023121;4.601000;3321712671.158548
87;0.051638;10.276000;1487271311.794560
88;0.037774;7.517000;2033151523.214320
89;0.000980;0.195000;78375384615.406647
