Essai;Temps_frame;Pixel_par_seconde
0;0.235472;46.859000;326152926.865704
1;0.231884;46.145000;331199479.900315
2;0.248080;49.368000;309577053.962081
3;0.195693;38.943000;392450504.583621
4;0.202437;40.285000;379376939.307434
5;0.213432;42.473000;359833305.864898
6;0.230920;45.953000;332583291.624051
7;0.248482;49.448000;309076201.261932
8;0.179588;35.738000;427645643.292854
9;0.231211;46.011000;332164047.727722
10;0.231261;46.021000;332091871.102317
11;0.214075;42.601000;358752141.968497
12;0.213819;42.550000;359182138.660394
13;0.231442;46.057000;331832294.765181
14;0.196342;39.072000;391154791.154786
15;0.211231;42.035000;363582728.678491
16;0.173688;34.564000;442171045.017930
17;0.239774;47.715000;320301791.889338
18;0.231754;46.119000;331386196.578409
19;0.197332;39.269000;389192492.806031
20;0.179719;35.764000;427334750.027962
21;0.179166;35.654000;428653166.545117
22;0.230704;45.910000;332894794.162483
23;0.247970;49.346000;309715073.156889
24;0.236744;47.112000;324401426.388180
25;0.190518;37.913000;403112388.890351
26;0.231764;46.121000;331371826.283038
27;0.248322;49.416000;309276347.741620
28;0.248462;49.444000;309101205.404092
29;0.213874;42.561000;359089307.112142
30;0.213980;42.582000;358912216.429506
31;0.231176;46.004000;332214590.035669
32;0.252533;50.254000;304119075.098500
33;0.286427;56.999000;268131019.842450
34;0.266337;53.001000;288356823.456161
35;0.230638;45.897000;332989084.253863
36;0.266698;53.073000;287965632.242371
37;0.230905;45.950000;332605005.440699
38;0.179382;35.697000;428136818.220031
39;0.247844;49.321000;309872062.610239
40;0.265322;52.799000;289460027.652037
41;0.214256;42.637000;358449234.233200
42;0.248402;49.432000;309176242.110383
43;0.187955;37.403000;408608935.112120
44;0.205658;40.926000;373434980.208178
45;0.231337;46.036000;331983664.957859
46;0.265317;52.798000;289465510.057194
47;0.231372;46.043000;331933192.884937
48;0.249151;49.581000;308247110.788416
49;0.179849;35.790000;427024308.466036
50;0.231613;46.091000;331587511.661744
51;0.214357;42.657000;358281173.078259
52;0.259724;51.685000;295698945.535455
53;0.237126;47.188000;323878952.275970
54;0.245749;48.904000;312514313.757555
55;0.199729;39.746000;384521712.876771
56;0.231106;45.990000;332315720.808880
57;0.231829;46.134000;331278449.733415
58;0.248372;49.426000;309213774.126986
59;0.179593;35.739000;427633677.495158
60;0.230844;45.938000;332691889.067851
61;0.196618;39.127000;390604953.101460
62;0.231106;45.990000;332315720.808828
63;0.231201;46.009000;332178486.817798
64;0.180025;35.825000;426607117.934382
