Essai;Temps_frame;Temps_sequence;Pixel_par_seconde
0;0.392588;78.125000;195624960.000000
1;0.314070;62.500000;244531200.000000
2;0.549623;109.375000;139732114.285714
3;0.392588;78.125000;195624960.000000
4;0.628141;125.000000;122265600.000000
5;0.549623;109.375000;139732114.285714
6;0.157035;31.250000;489062400.000000
7;0.392588;78.125000;195624960.000000
8;0.392588;78.125000;195624960.000000
9;0.235553;46.875000;326041600.000000
10;0.314070;62.500000;244531200.000000
11;0.471106;93.750000;163020800.000000
12;0.628141;125.000000;122265600.000000
13;0.471106;93.750000;163020800.000000
14;1.020729;203.125000;75240369.230769
15;0.471106;93.750000;163020800.000000
16;1.256281;250.000000;61132800.000000
17;0.706658;140.625000;108680533.333333
18;0.157035;31.250000;489062400.000000
19;0.549623;109.375000;139732114.285714
20;0.628141;125.000000;122265600.000000
21;0.628141;125.000000;122265600.000000
22;0.314070;62.500000;244531200.000000
23;0.314070;62.500000;244531200.000000
24;0.549623;109.375000;139732114.285714
25;0.235553;46.875000;326041600.000000
26;0.471106;93.750000;163020800.000000
27;0.628141;125.000000;122265600.000000
28;0.549623;109.375000;139732114.285714
29;0.863693;171.875000;88920436.363636
30;0.471106;93.750000;163020800.000000
31;0.314070;62.500000;244531200.000000
32;0.549623;109.375000;139732114.285714
33;0.628141;125.000000;122265600.000000
34;0.628141;125.000000;122265600.000000
35;0.392588;78.125000;195624960.000000
36;0.314070;62.500000;244531200.000000
37;0.392588;78.125000;195624960.000000
38;0.785176;156.250000;97812480.000000
39;0.314070;62.500000;244531200.000000
40;0.549623;109.375000;139732114.285714
41;0.549623;109.375000;139732114.285714
42;0.392588;78.125000;195624960.000000
43;0.392588;78.125000;195624960.000000
44;0.628141;125.000000;122265600.000000
45;0.628141;125.000000;122265600.000000
46;0.471106;93.750000;163020800.000000
47;0.863693;171.875000;88920436.363636
48;0.706658;140.625000;108680533.333333
49;0.392588;78.125000;195624960.000000
50;0.314070;62.500000;244531200.000000
51;0.628141;125.000000;122265600.000000
52;0.000000;0.000000;inf
53;0.471106;93.750000;163020800.000000
54;0.235553;46.875000;326041600.000000
55;0.628141;125.000000;122265600.000000
56;0.706658;140.625000;108680533.333333
57;0.549623;109.375000;139732114.285714
58;0.785176;156.250000;97812480.000000
59;0.706658;140.625000;108680533.333333
60;0.471106;93.750000;163020800.000000
61;0.471106;93.750000;163020800.000000
62;0.549623;109.375000;139732114.285714
63;0.706658;140.625000;108680533.333333
64;0.863693;171.875000;88920436.363636
65;0.314070;62.500000;244531200.000000
66;0.706658;140.625000;108680533.333333
67;0.628141;125.000000;122265600.000000
68;0.706658;140.625000;108680533.333333
69;0.628141;125.000000;122265600.000000
70;0.314070;62.500000;244531200.000000
71;0.549623;109.375000;139732114.285714
