Essai;Temps_frame;Pixel_par_seconde
0;0.033503;6.667000;2292365381.730913
1;0.022663;4.510000;3388736141.906866
2;0.025116;4.998000;3057863145.258101
3;0.038296;7.621000;2005406114.683108
4;0.019588;3.898000;3920779887.121574
5;0.014075;2.801000;5456337022.491984
6;0.013291;2.645000;5778147448.015120
7;0.064221;12.780000;1195868544.600936
8;0.018930;3.767000;4057127687.815290
9;0.001387;0.276000;55373913043.478561
10;0.039588;7.878000;1939984767.707524
11;0.055256;10.996000;1389887231.720632
12;0.027618;5.496000;2780786026.200915
13;0.026804;5.334000;2865241844.769423
14;0.000794;0.158000;96729113924.047363
15;0.032447;6.457000;2366919622.115532
16;0.037563;7.475000;2044575250.836110
17;0.026226;5.219000;2928377083.732531
18;0.041327;8.224000;1858365758.754874
19;0.030362;6.042000;2529493545.183753
20;0.038382;7.638000;2000942655.145346
21;0.041131;8.185000;1867220525.351265
22;0.041688;8.296000;1842237222.757962
23;0.041382;8.235000;1855883424.408041
24;0.027784;5.529000;2764188822.571905
25;0.033548;6.676000;2289275014.979005
26;0.035633;7.091000;2155295444.930155
27;0.025065;4.988000;3063993584.603086
28;0.037312;7.425000;2058343434.343453
29;0.020402;4.060000;3764334975.369400
30;0.040226;8.005000;1909206745.783823
31;0.028754;5.722000;2670954211.814023
32;0.013819;2.750000;5557527272.727548
33;0.040965;8.152000;1874779195.289488
34;0.025090;4.993000;3060925295.413563
35;0.036844;7.332000;2084451718.494286
36;0.050734;10.096000;1513787638.668772
37;0.038372;7.636000;2001466736.511312
38;0.036156;7.195000;2124141765.114644
39;0.018970;3.775000;4048529801.324651
40;0.027352;5.443000;2807863310.674273
41;0.050698;10.089000;1514837942.313458
42;0.023497;4.676000;3268434559.452476
43;0.021849;4.348000;3514995400.184022
44;0.038307;7.623000;2004879968.516305
45;0.051040;10.157000;1504696268.583231
46;0.021015;4.182000;3654519368.723179
47;0.025533;5.081000;3007911828.380075
48;0.029347;5.840000;2616986301.369907
49;0.031513;6.271000;2437123265.826876
50;0.023638;4.704000;3248979591.836859
51;0.050477;10.045000;1521473369.835718
52;0.009357;1.862000;8207948442.534776
53;0.023397;4.656000;3282474226.804011
54;0.027307;5.434000;2812513801.987432
55;0.046623;9.278000;1647251562.836846
56;0.036538;7.271000;2101939210.562469
57;0.050477;10.045000;1521473369.835626
58;0.051477;10.244000;1491917219.835884
59;0.048518;9.655000;1582931123.770181
60;0.025638;5.102000;2995531164.249480
61;0.029146;5.800000;2635034482.758659
62;0.027382;5.449000;2804771517.709367
63;0.040869;8.133000;1879158981.925322
64;0.027719;5.516000;2770703408.266989
65;0.032563;6.480000;2358518518.518665
66;0.021849;4.348000;3514995400.183798
67;0.013864;2.759000;5539398332.729115
68;0.055337;11.012000;1387867780.602990
69;0.032894;6.546000;2334738771.769159
70;0.037859;7.534000;2028563843.907518
71;0.040045;7.969000;1917831597.440079
72;0.000000;0.000000;inf
73;0.016663;3.316000;4608926417.370345
74;0.037377;7.438000;2054745899.435470
75;0.023945;4.765000;3207387198.321228
76;0.018050;3.592000;4254788418.708062
77;0.028492;5.670000;2695449735.449863
78;0.026362;5.246000;2913305375.524162
79;0.041372;8.233000;1856334264.545238
80;0.027452;5.463000;2797583745.194893
81;0.013553;2.697000;5666740823.137158
82;0.027799;5.532000;2762689804.772188
83;0.044693;8.894000;1718371936.136708
84;0.050789;10.107000;1512140100.920141
85;0.014236;2.833000;5394705259.441278
86;0.027503;5.473000;2792472135.939868
87;0.028131;5.598000;2730117899.249844
88;0.037181;7.399000;2065576429.247090
89;0.036794;7.322000;2087298552.308351
90;0.064608;12.857000;1188706541.183800
91;0.050764;10.102000;1512888536.923307
92;0.037442;7.451000;2051160917.997527
93;0.047598;9.472000;1613513513.513602
94;0.041422;8.243000;1854082251.607724
95;0.064925;12.920000;1182910216.718201
96;0.017638;3.510000;4354188034.187605
97;0.027241;5.421000;2819258439.401858
98;0.053683;10.683000;1430609379.387828
99;0.029005;5.772000;2647817047.817456
100;0.041487;8.256000;1851162790.697640
101;0.029442;5.859000;2608499743.983292
102;0.037276;7.418000;2060285791.318466
103;0.050869;10.123000;1509750074.088478
104;0.048111;9.574000;1596323375.809452
105;0.027678;5.508000;2774727668.846177
106;0.022261;4.430000;3449932279.909066
107;0.037442;7.451000;2051160917.997619
108;0.050673;10.084000;1515589051.963242
109;0.027497;5.472000;2792982456.140051
110;0.046568;9.267000;1649206863.062574
111;0.023819;4.740000;3224303797.468528
112;0.051357;10.220000;1495420743.639904
