Essai;Temps_frame;Temps_sequence;Pixel_par_seconde
0;5.339196;1062.500000;14384188.235294
1;6.124372;1218.750000;12540061.538462
2;6.045854;1203.125000;12702919.480519
3;5.417714;1078.125000;14175721.739130
4;5.182161;1031.250000;14820072.727273
5;5.417714;1078.125000;14175721.739130
6;5.182161;1031.250000;14820072.727273
7;5.103643;1015.625000;15048073.846154
8;5.417714;1078.125000;14175721.739130
9;5.496231;1093.750000;13973211.428571
10;5.182161;1031.250000;14820072.727273
11;4.868090;968.750000;15776206.451613
12;5.182161;1031.250000;14820072.727273
13;5.339196;1062.500000;14384188.235294
14;5.339196;1062.500000;14384188.235294
15;5.574749;1109.375000;13776405.633803
16;5.653266;1125.000000;13585066.666667
17;5.417714;1078.125000;14175721.739130
18;5.103643;1015.625000;15048073.846154
19;5.025126;1000.000000;15283200.000000
20;5.182161;1031.250000;14820072.727273
21;5.339196;1062.500000;14384188.235294
22;5.260678;1046.875000;14598877.611940
23;5.182161;1031.250000;14820072.727273
24;5.025126;1000.000000;15283200.000000
25;5.417714;1078.125000;14175721.739130
26;5.260678;1046.875000;14598877.611940
27;5.339196;1062.500000;14384188.235294
28;5.260678;1046.875000;14598877.611940
29;5.260678;1046.875000;14598877.611940
30;5.103643;1015.625000;15048073.846154
31;5.025126;1000.000000;15283200.000000
32;5.496231;1093.750000;13973211.428571
33;5.496231;1093.750000;13973211.428571
34;5.339196;1062.500000;14384188.235294
35;5.417714;1078.125000;14175721.739130
36;5.496231;1093.750000;13973211.428571
37;5.496231;1093.750000;13973211.428571
38;5.574749;1109.375000;13776405.633803
39;5.182161;1031.250000;14820072.727273
40;5.339196;1062.500000;14384188.235294
41;5.417714;1078.125000;14175721.739130
42;5.810302;1156.250000;13217902.702703
43;5.182161;1031.250000;14820072.727273
44;5.182161;1031.250000;14820072.727273
45;5.103643;1015.625000;15048073.846154
46;5.417714;1078.125000;14175721.739130
47;5.574749;1109.375000;13776405.633803
48;5.339196;1062.500000;14384188.235294
49;5.182161;1031.250000;14820072.727273
50;5.574749;1109.375000;13776405.633803
51;5.496231;1093.750000;13973211.428571
52;5.182161;1031.250000;14820072.727273
53;5.260678;1046.875000;14598877.611940
54;5.339196;1062.500000;14384188.235294
55;5.260678;1046.875000;14598877.611940
56;4.868090;968.750000;15776206.451613
57;5.496231;1093.750000;13973211.428571
58;5.417714;1078.125000;14175721.739130
59;5.574749;1109.375000;13776405.633803
60;5.260678;1046.875000;14598877.611940
61;5.025126;1000.000000;15283200.000000
62;5.574749;1109.375000;13776405.633803
63;5.417714;1078.125000;14175721.739130
64;5.496231;1093.750000;13973211.428571
65;5.182161;1031.250000;14820072.727273
66;5.260678;1046.875000;14598877.611940
67;5.339196;1062.500000;14384188.235294
68;5.025126;1000.000000;15283200.000000
69;5.260678;1046.875000;14598877.611940
70;5.417714;1078.125000;14175721.739130
71;5.339196;1062.500000;14384188.235294
72;5.182161;1031.250000;14820072.727273
73;5.103643;1015.625000;15048073.846154
74;5.653266;1125.000000;13585066.666667
75;5.182161;1031.250000;14820072.727273
76;4.789573;953.125000;16034832.786885
77;5.260678;1046.875000;14598877.611940
78;5.260678;1046.875000;14598877.611940
79;5.417714;1078.125000;14175721.739130
80;5.260678;1046.875000;14598877.611940
81;5.182161;1031.250000;14820072.727273
82;5.182161;1031.250000;14820072.727273
83;4.868090;968.750000;15776206.451613
84;5.260678;1046.875000;14598877.611940
85;5.025126;1000.000000;15283200.000000
86;5.182161;1031.250000;14820072.727273
87;5.182161;1031.250000;14820072.727273
88;5.260678;1046.875000;14598877.611940
89;5.260678;1046.875000;14598877.611940
90;4.946608;984.375000;15525790.476190
91;5.260678;1046.875000;14598877.611940
92;5.182161;1031.250000;14820072.727273
93;5.339196;1062.500000;14384188.235294
94;5.260678;1046.875000;14598877.611940
95;5.260678;1046.875000;14598877.611940
96;5.339196;1062.500000;14384188.235294
97;5.339196;1062.500000;14384188.235294
98;5.339196;1062.500000;14384188.235294
99;5.182161;1031.250000;14820072.727273
100;5.260678;1046.875000;14598877.611940
101;5.103643;1015.625000;15048073.846154
102;5.339196;1062.500000;14384188.235294
103;5.182161;1031.250000;14820072.727273
104;5.103643;1015.625000;15048073.846154
105;5.260678;1046.875000;14598877.611940
106;5.417714;1078.125000;14175721.739130
107;5.496231;1093.750000;13973211.428571
108;5.417714;1078.125000;14175721.739130
109;5.182161;1031.250000;14820072.727273
110;5.417714;1078.125000;14175721.739130
111;5.496231;1093.750000;13973211.428571
112;5.103643;1015.625000;15048073.846154
113;5.260678;1046.875000;14598877.611940
114;5.417714;1078.125000;14175721.739130
115;5.417714;1078.125000;14175721.739130
116;4.868090;968.750000;15776206.451613
117;5.574749;1109.375000;13776405.633803
118;5.103643;1015.625000;15048073.846154
119;5.103643;1015.625000;15048073.846154
120;5.339196;1062.500000;14384188.235294
121;5.260678;1046.875000;14598877.611940
122;5.103643;1015.625000;15048073.846154
123;5.417714;1078.125000;14175721.739130
124;5.025126;1000.000000;15283200.000000
125;5.496231;1093.750000;13973211.428571
126;5.496231;1093.750000;13973211.428571
127;5.260678;1046.875000;14598877.611940
128;5.103643;1015.625000;15048073.846154
129;5.496231;1093.750000;13973211.428571
130;5.496231;1093.750000;13973211.428571
131;5.182161;1031.250000;14820072.727273
132;5.260678;1046.875000;14598877.611940
133;4.868090;968.750000;15776206.451613
134;5.496231;1093.750000;13973211.428571
135;5.182161;1031.250000;14820072.727273
136;5.339196;1062.500000;14384188.235294
137;5.103643;1015.625000;15048073.846154
138;5.574749;1109.375000;13776405.633803
139;5.417714;1078.125000;14175721.739130
140;5.653266;1125.000000;13585066.666667
141;5.103643;1015.625000;15048073.846154
142;5.417714;1078.125000;14175721.739130
143;5.417714;1078.125000;14175721.739130
144;5.103643;1015.625000;15048073.846154
145;5.417714;1078.125000;14175721.739130
146;5.339196;1062.500000;14384188.235294
147;5.182161;1031.250000;14820072.727273
148;5.182161;1031.250000;14820072.727273
149;5.260678;1046.875000;14598877.611940
150;5.103643;1015.625000;15048073.846154
151;5.731784;1140.625000;13398969.863014
152;5.496231;1093.750000;13973211.428571
153;5.260678;1046.875000;14598877.611940
154;5.417714;1078.125000;14175721.739130
155;5.574749;1109.375000;13776405.633803
156;5.260678;1046.875000;14598877.611940
157;5.496231;1093.750000;13973211.428571
158;5.417714;1078.125000;14175721.739130
159;5.496231;1093.750000;13973211.428571
160;5.339196;1062.500000;14384188.235294
161;5.260678;1046.875000;14598877.611940
162;5.182161;1031.250000;14820072.727273
163;4.946608;984.375000;15525790.476190
164;5.417714;1078.125000;14175721.739130
165;5.182161;1031.250000;14820072.727273
166;5.103643;1015.625000;15048073.846154
167;5.417714;1078.125000;14175721.739130
168;5.182161;1031.250000;14820072.727273
169;5.260678;1046.875000;14598877.611940
170;5.339196;1062.500000;14384188.235294
171;5.260678;1046.875000;14598877.611940
172;5.260678;1046.875000;14598877.611940
173;5.025126;1000.000000;15283200.000000
174;5.025126;1000.000000;15283200.000000
175;4.789573;953.125000;16034832.786885
176;5.025126;1000.000000;15283200.000000
177;5.025126;1000.000000;15283200.000000
178;5.182161;1031.250000;14820072.727273
179;5.260678;1046.875000;14598877.611940
180;4.946608;984.375000;15525790.476190
181;5.339196;1062.500000;14384188.235294
182;5.182161;1031.250000;14820072.727273
183;5.182161;1031.250000;14820072.727273
184;5.103643;1015.625000;15048073.846154
185;5.025126;1000.000000;15283200.000000
186;5.103643;1015.625000;15048073.846154
187;5.496231;1093.750000;13973211.428571
188;5.339196;1062.500000;14384188.235294
189;5.496231;1093.750000;13973211.428571
190;5.260678;1046.875000;14598877.611940
191;5.260678;1046.875000;14598877.611940
192;5.417714;1078.125000;14175721.739130
193;5.182161;1031.250000;14820072.727273
194;5.260678;1046.875000;14598877.611940
195;5.653266;1125.000000;13585066.666667
196;5.339196;1062.500000;14384188.235294
197;5.182161;1031.250000;14820072.727273
198;5.417714;1078.125000;14175721.739130
199;5.103643;1015.625000;15048073.846154
200;5.417714;1078.125000;14175721.739130
201;5.182161;1031.250000;14820072.727273
202;5.339196;1062.500000;14384188.235294
203;5.417714;1078.125000;14175721.739130
204;5.182161;1031.250000;14820072.727273
205;5.417714;1078.125000;14175721.739130
206;4.946608;984.375000;15525790.476190
207;5.182161;1031.250000;14820072.727273
208;5.103643;1015.625000;15048073.846154
209;5.496231;1093.750000;13973211.428571
210;5.339196;1062.500000;14384188.235294
211;5.417714;1078.125000;14175721.739130
212;5.653266;1125.000000;13585066.666667
213;5.103643;1015.625000;15048073.846154
214;5.339196;1062.500000;14384188.235294
215;5.339196;1062.500000;14384188.235294
216;5.182161;1031.250000;14820072.727273
217;5.103643;1015.625000;15048073.846154
218;5.339196;1062.500000;14384188.235294
219;5.103643;1015.625000;15048073.846154
220;5.025126;1000.000000;15283200.000000
221;5.260678;1046.875000;14598877.611940
222;5.182161;1031.250000;14820072.727273
223;5.103643;1015.625000;15048073.846154
224;5.339196;1062.500000;14384188.235294
225;5.260678;1046.875000;14598877.611940
226;4.946608;984.375000;15525790.476190
227;5.182161;1031.250000;14820072.727273
228;5.339196;1062.500000;14384188.235294
229;5.339196;1062.500000;14384188.235294
230;5.339196;1062.500000;14384188.235294
231;5.182161;1031.250000;14820072.727273
232;5.810302;1156.250000;13217902.702703
233;5.103643;1015.625000;15048073.846154
234;5.417714;1078.125000;14175721.739130
235;5.339196;1062.500000;14384188.235294
236;5.339196;1062.500000;14384188.235294
237;5.182161;1031.250000;14820072.727273
238;5.417714;1078.125000;14175721.739130
239;5.260678;1046.875000;14598877.611940
240;5.103643;1015.625000;15048073.846154
241;5.025126;1000.000000;15283200.000000
242;5.025126;1000.000000;15283200.000000
243;5.574749;1109.375000;13776405.633803
244;5.025126;1000.000000;15283200.000000
245;5.103643;1015.625000;15048073.846154
246;5.339196;1062.500000;14384188.235294
247;5.731784;1140.625000;13398969.863014
248;5.339196;1062.500000;14384188.235294
249;5.339196;1062.500000;14384188.235294
250;5.103643;1015.625000;15048073.846154
251;5.417714;1078.125000;14175721.739130
252;5.653266;1125.000000;13585066.666667
253;5.260678;1046.875000;14598877.611940
254;5.260678;1046.875000;14598877.611940
255;5.339196;1062.500000;14384188.235294
256;5.496231;1093.750000;13973211.428571
257;5.417714;1078.125000;14175721.739130
258;5.103643;1015.625000;15048073.846154
259;5.025126;1000.000000;15283200.000000
260;5.417714;1078.125000;14175721.739130
261;5.496231;1093.750000;13973211.428571
262;5.182161;1031.250000;14820072.727273
263;5.653266;1125.000000;13585066.666667
264;5.339196;1062.500000;14384188.235294
265;5.260678;1046.875000;14598877.611940
266;5.103643;1015.625000;15048073.846154
267;5.417714;1078.125000;14175721.739130
268;5.103643;1015.625000;15048073.846154
269;5.417714;1078.125000;14175721.739130
270;5.182161;1031.250000;14820072.727273
271;5.417714;1078.125000;14175721.739130
272;5.260678;1046.875000;14598877.611940
273;5.182161;1031.250000;14820072.727273
