Essai;Temps_frame;Temps_sequence;Pixel_par_seconde
0;0.173849;34.596000;441762053.416580
1;0.178910;35.603000;429267196.584558
2;0.165146;32.864000;465043816.942550
3;0.177854;35.393000;431814200.548132
4;0.190337;37.877000;403495524.988782
5;0.153437;30.534000;500530556.101404
6;0.166513;33.136000;461226460.647035
7;0.140965;28.052000;544816768.857838
8;0.166729;33.179000;460628710.931614
9;0.165226;32.880000;464817518.248174
10;0.165643;32.963000;463647119.497621
11;0.156950;31.233000;489328594.755544
12;0.174171;34.660000;440946335.833811
13;0.177950;35.412000;431582514.401888
14;0.178412;35.504000;430464173.050919
15;0.165442;32.923000;464210430.398203
16;0.152653;30.378000;503100928.303381
17;0.160789;31.997000;477644779.198051
18;0.171779;34.184000;447086356.190026
19;0.165407;32.916000;464309150.565085
20;0.177739;35.370000;432094995.759116
21;0.190513;37.912000;403123021.734525
22;0.153106;30.468000;501614808.979918
23;0.166342;33.102000;461700199.383733
24;0.178075;35.437000;431278042.723702
25;0.165673;32.969000;463562740.756465
26;0.191251;38.059000;401565989.647656
27;0.178035;35.429000;431375426.910146
28;0.141513;28.161000;542708000.426094
29;0.178673;35.556000;429834627.067165
30;0.165332;32.901000;464520835.232996
31;0.166864;33.206000;460254170.932960
32;0.165739;32.982000;463380025.468446
33;0.165638;32.962000;463661185.607670
34;0.152824;30.412000;502538471.655901
35;0.178015;35.425000;431424135.497516
36;0.190467;37.903000;403218742.579736
37;0.177879;35.398000;431753206.395876
38;0.176673;35.158000;434700494.908681
39;0.169121;33.655000;454113801.812539
40;0.171523;34.133000;447754372.601269
41;0.171995;34.227000;446524673.503432
42;0.177920;35.406000;431655651.584509
43;0.177884;35.399000;431741009.633014
44;0.192874;38.382000;398186649.992235
45;0.143161;28.489000;536459686.194655
46;0.190457;37.901000;403240020.052239
47;0.177859;35.394000;431802000.339055
48;0.179211;35.663000;428544990.606506
49;0.152844;30.416000;502472382.956357
50;0.166603;33.154000;460976051.155256
51;0.177859;35.394000;431802000.339028
52;0.190623;37.934000;402889228.660386
53;0.190693;37.948000;402740592.389613
54;0.165688;32.972000;463520562.901887
55;0.165523;32.939000;463984941.862214
56;0.178131;35.448000;431144211.238969
57;0.190603;37.930000;402931716.319566
58;0.192638;38.335000;398674840.224338
59;0.168161;33.464000;456705713.602691
60;0.140839;28.027000;545302743.782811
61;0.158382;31.518000;484903864.458389
62;0.173422;34.511000;442850105.763423
63;0.165693;32.973000;463506505.322466
64;0.166407;33.115000;461518949.116733
65;0.190688;37.947000;402751205.628918
66;0.163693;32.575000;469169608.595580
67;0.155035;30.852000;495371450.797357
68;0.167533;33.339000;458418068.928291
69;0.165417;32.918000;464280940.518896
70;0.177834;35.389000;431863008.279416
71;0.165523;32.939000;463984941.862176
72;0.153070;30.461000;501730081.087375
73;0.165754;32.985000;463337880.854896
74;0.165593;32.953000;463787819.014986
75;0.190563;37.922000;403016718.527457
76;0.165221;32.879000;464831655.464020
77;0.165392;32.913000;464351472.062664
78;0.159513;31.743000;481466780.077503
79;0.173146;34.456000;443557000.232117
80;0.167452;33.323000;458638177.835040
81;0.176317;35.087000;435580129.392610
82;0.165769;32.988000;463295743.906819
83;0.177955;35.413000;431570327.280930
84;0.165256;32.886000;464732713.008645
85;0.165538;32.942000;463942687.147154
86;0.147231;29.299000;521628724.529911
87;0.134392;26.744000;571462758.001778
88;0.154558;30.757000;496901518.353482
89;0.178437;35.509000;430403559.660939
90;0.178141;35.450000;431119887.164989
91;0.163568;32.550000;469529953.917107
92;0.155045;30.854000;495339340.117894
93;0.165714;32.977000;463450283.530961
94;0.165075;32.850000;465242009.132498
95;0.177714;35.365000;432156086.526231
96;0.177754;35.373000;432058349.588790
97;0.191005;38.010000;402083662.194142
98;0.155573;30.959000;493659355.922318
99;0.165804;32.995000;463197454.159676
100;0.165352;32.905000;464464367.117441
101;0.165432;32.921000;464238631.876385
102;0.165472;32.929000;464125846.518314
103;0.171543;34.137000;447701907.021644
104;0.147513;29.355000;520633622.892138
105;0.165563;32.947000;463872279.721952
106;0.190518;37.913000;403112388.890396
107;0.152925;30.432000;502208201.892726
108;0.178719;35.565000;429725854.070044
109;0.178548;35.531000;430137063.409409
110;0.190814;37.972000;402486042.346984
111;0.152854;30.418000;502439345.124582
112;0.177784;35.379000;431985075.892459
113;0.190367;37.883000;403431618.403959
114;0.179151;35.651000;428689237.328497
115;0.165362;32.907000;464436138.207667
116;0.178407;35.503000;430476297.777628
117;0.165171;32.869000;464973074.933856
118;0.179543;35.729000;427753365.613400
119;0.165296;32.894000;464619687.480965
120;0.152945;30.436000;502142200.026257
121;0.165784;32.991000;463253614.622157
122;0.178101;35.442000;431217199.932287
123;0.165432;32.921000;464238631.876360
124;0.153126;30.472000;501548962.982417
125;0.153392;30.525000;500678132.678032
126;0.177960;35.414000;431558140.848238
127;0.165332;32.901000;464520835.232886
128;0.154467;30.739000;497192491.622997
129;0.165392;32.913000;464351472.062652
130;0.178241;35.470000;430876797.293475
131;0.177970;35.416000;431533770.047375
132;0.178171;35.456000;431046931.407900
133;0.190804;37.970000;402507242.559929
134;0.165533;32.941000;463956771.196899
135;0.162573;32.352000;472403560.830842
136;0.143437;28.544000;535426008.968607
137;0.154327;30.711000;497645794.666317
138;0.178673;35.556000;429834627.067112
139;0.166307;33.095000;461797854.660796
140;0.177995;35.421000;431472855.085896
141;0.178050;35.432000;431338902.686824
142;0.165377;32.910000;464393801.276205
143;0.170286;33.887000;451004810.104182
144;0.184950;36.805000;415247928.270623
145;0.165945;33.023000;462804711.867561
146;0.165452;32.925000;464182232.346359
147;0.166030;33.040000;462566585.956569
148;0.190910;37.991000;402284751.651755
149;0.166698;33.173000;460712024.839482
150;0.153146;30.476000;501483134.269645
151;0.177668;35.356000;432266093.449483
152;0.165739;32.982000;463380025.468730
153;0.177930;35.408000;431631269.769561
154;0.174221;34.670000;440819152.004454
155;0.182231;36.264000;421442753.143644
156;0.178045;35.431000;431351076.740718
157;0.179116;35.644000;428773426.102661
158;0.178241;35.470000;430876797.293335
159;0.165678;32.970000;463548680.618911
160;0.165382;32.911000;464379690.680947
161;0.177719;35.366000;432143866.990876
162;0.177809;35.384000;431924033.461640
163;0.190533;37.916000;403080493.722900
164;0.190824;37.974000;402464844.367291
165;0.165854;33.005000;463057112.558813
166;0.165136;32.862000;465072119.773603
167;0.154648;30.775000;496610885.459002
168;0.178131;35.448000;431144211.239012
169;0.178075;35.437000;431278042.723621
170;0.152829;30.413000;502521947.851552
171;0.153080;30.463000;501697140.793879
172;0.178653;35.552000;429882988.298797
173;0.178025;35.427000;431399779.828789
174;0.190347;37.879000;403474220.544325
175;0.153387;30.524000;500694535.447783
176;0.178121;35.446000;431168538.057844
177;0.166523;33.138000;461198623.936376
178;0.152819;30.411000;502554996.547347
179;0.190573;37.924000;402995464.613472
180;0.166075;33.049000;462440618.475397
181;0.153226;30.492000;501219992.129102
182;0.178030;35.428000;431387603.025925
183;0.177990;35.420000;431485036.702360
184;0.165241;32.883000;464775111.759826
185;0.165372;32.909000;464407912.728789
186;0.164558;32.747000;466705347.054558
187;0.153910;30.628000;498994384.223585
188;0.162317;32.301000;473149438.098017
189;0.156824;31.208000;489720584.465753
190;0.178412;35.504000;430464173.050886
191;0.178779;35.577000;429580909.014165
192;0.156040;31.052000;492180857.915630
193;0.163271;32.491000;470382567.480247
194;0.167146;33.262000;459479285.671378
195;0.177523;35.327000;432620941.489767
196;0.153020;30.451000;501894847.459923
197;0.165724;32.979000;463422177.749313
198;0.153060;30.459000;501763025.706534
199;0.165447;32.924000;464196330.943899
200;0.178000;35.422000;431460674.157297
201;0.140040;27.868000;548413951.485369
202;0.152472;30.342000;503697844.571923
203;0.165573;32.949000;463844122.735056
204;0.177598;35.342000;432437326.693388
205;0.177985;35.419000;431497219.006822
206;0.165281;32.891000;464662065.610813
207;0.165216;32.878000;464845793.539926
208;0.165156;32.866000;465015517.556058
209;0.177869;35.396000;431777601.988855
210;0.165010;32.837000;465426196.059440
211;0.152905;30.428000;502274221.112183
212;0.165683;32.971000;463534621.334026
213;0.178055;35.433000;431326729.320046
214;0.190276;37.865000;403623398.917243
215;0.165161;32.867000;465001369.154553
216;0.177613;35.345000;432400622.435972
217;0.177553;35.333000;432547476.862929
218;0.190251;37.860000;403676703.645062
219;0.165784;32.991000;463253614.622307
220;0.168111;33.454000;456842231.123687
221;0.162688;32.375000;472067953.668031
222;0.152497;30.347000;503614854.845459
223;0.177864;35.395000;431789800.819137
224;0.190010;37.812000;404189146.302697
225;0.165407;32.916000;464309150.565097
226;0.161377;32.114000;475904589.898540
227;0.181482;36.115000;423181503.530362
228;0.177809;35.384000;431924033.461488
229;0.177884;35.399000;431741009.633084
230;0.178774;35.576000;429592984.034322
231;0.177794;35.381000;431960656.849688
232;0.165437;32.922000;464224530.708884
233;0.190613;37.932000;402910471.369710
234;0.190442;37.898000;403271940.471715
235;0.190543;37.918000;403059233.082033
236;0.178121;35.446000;431168538.057844
237;0.190734;37.956000;402655706.607563
238;0.191085;38.026000;401914479.566628
239;0.152789;30.405000;502654168.722308
240;0.180955;36.010000;424415440.155585
241;0.137487;27.360000;558596491.228255
242;0.178940;35.609000;429194866.466139
243;0.188719;37.555000;406955132.472497
244;0.203638;40.524000;377139472.904850
245;0.152960;30.439000;502092710.009930
246;0.178186;35.459000;431010462.788037
247;0.165116;32.858000;465128735.772348
248;0.177874;35.397000;431765403.847744
249;0.177889;35.400000;431728813.559245
250;0.165161;32.867000;465001369.154453
251;0.164930;32.821000;465653087.961872
252;0.156739;31.191000;489987496.393334
253;0.173844;34.595000;441774822.951323
254;0.165422;32.919000;464266836.780944
255;0.165583;32.951000;463815969.166379
256;0.165347;32.904000;464478482.859298
257;0.165075;32.850000;465242009.132574
258;0.177935;35.409000;431619079.894990
259;0.177744;35.371000;432082779.678338
260;0.165191;32.873000;464916496.821169
261;0.177754;35.373000;432058349.588627
262;0.177709;35.364000;432168306.752744
263;0.190558;37.921000;403027346.325398
264;0.165347;32.904000;464478482.859173
265;0.190251;37.860000;403676703.645119
266;0.152688;30.385000;502985025.506111
267;0.152899;30.427000;502290728.629244
268;0.165020;32.839000;465397850.117200
269;0.165307;32.896000;464591439.688728
270;0.152894;30.426000;502307237.231369
271;0.165874;33.009000;463000999.727424
272;0.152653;30.378000;503100928.303366
273;0.153060;30.459000;501763025.706505
274;0.152859;30.419000;502422827.837803
275;0.177367;35.296000;433000906.618436
276;0.165196;32.874000;464902354.444096
277;0.178482;35.518000;430294498.564026
278;0.152764;30.400000;502736842.105201
279;0.175206;34.866000;438341077.267106
280;0.155523;30.949000;493818863.291283
281;0.165538;32.942000;463942687.147129
282;0.177920;35.406000;431655651.584368
283;0.153085;30.464000;501680672.268786
284;0.166312;33.096000;461783901.377779
285;0.178035;35.429000;431375426.910129
286;0.165573;32.949000;463844122.735131
287;0.166236;33.081000;461993289.199224
288;0.165754;32.985000;463337880.854834
289;0.178508;35.523000;430233932.944880
290;0.165312;32.897000;464577317.080482
291;0.165588;32.952000;463801893.663462
292;0.177754;35.373000;432058349.588606
293;0.177789;35.380000;431972866.026134
294;0.152749;30.397000;502786459.190129
295;0.164864;32.808000;465837600.585208
296;0.153688;30.584000;499712267.852571
297;0.190457;37.901000;403240020.052433
298;0.175141;34.853000;438504576.363651
299;0.151739;30.196000;506133262.683559
300;0.144764;28.808000;530519300.194494
301;0.177859;35.394000;431802000.338909
302;0.177884;35.399000;431741009.633019
303;0.177834;35.389000;431863008.279383
304;0.165854;33.005000;463057112.558414
305;0.152784;30.404000;502670701.223041
306;0.177829;35.388000;431875211.936280
307;0.165598;32.954000;463773745.220558
308;0.165302;32.895000;464605563.155295
309;0.165186;32.872000;464930640.058392
310;0.165035;32.842000;465355337.677282
311;0.152804;30.408000;502604577.743088
312;0.165121;32.859000;465114580.480407
313;0.178216;35.465000;430937544.057842
314;0.177879;35.398000;431753206.395703
315;0.165462;32.927000;464154037.719392
316;0.152889;30.425000;502323746.918577
317;0.177729;35.368000;432119429.993148
318;0.165161;32.867000;465001369.154126
319;0.164945;32.824000;465610528.881537
320;0.177538;35.330000;432584206.057239
321;0.153492;30.545000;500350302.831537
322;0.184744;36.764000;415711021.651397
323;0.158663;31.574000;484043833.533934
324;0.152593;30.366000;503299743.133991
325;0.177678;35.358000;432241642.626862
326;0.177613;35.345000;432400622.435864
327;0.153020;30.451000;501894847.459806
328;0.165437;32.922000;464224530.708809
329;0.190523;37.914000;403101756.607051
330;0.165221;32.879000;464831655.464560
331;0.174854;34.796000;439222899.183634
332;0.164271;32.690000;467519118.996144
333;0.157015;31.246000;489125008.001144
334;0.190141;37.838000;403911411.808493
335;0.152869;30.421000;502389796.522014
336;0.152477;30.343000;503681244.438670
337;0.165884;33.011000;462972948.410661
338;0.178015;35.425000;431424135.497530
339;0.165432;32.921000;464238631.876536
340;0.152814;30.410000;502571522.525605
341;0.144935;28.842000;529893904.722002
342;0.197352;39.273000;389152853.105032
343;0.178563;35.534000;430100748.578716
344;0.165211;32.877000;464859932.475804
345;0.165472;32.929000;464125846.518176
346;0.180025;35.825000;426607117.934076
347;0.166402;33.114000;461532886.392495
348;0.165060;32.847000;465284500.867756
349;0.178950;35.611000;429170761.842830
350;0.136457;27.155000;562813478.181098
351;0.133955;26.657000;573327831.338781
352;0.179477;35.716000;427909060.365306
353;0.179382;35.697000;428136818.220329
354;0.154744;30.794000;496304474.897418
355;0.155935;31.031000;492513937.674798
356;0.153769;30.600000;499450980.392451
357;0.178643;35.550000;429907172.995730
358;0.171638;34.156000;447452863.332811
359;0.263618;52.460000;291330537.552382
360;0.198171;39.436000;387544375.697033
361;0.233045;46.376000;329549767.120985
362;0.179487;35.718000;427885099.949274
363;0.170116;33.853000;451457773.314311
364;0.221985;44.175000;345969439.728248
365;0.107427;21.378000;714903171.484039
