Essai;Temps_frame;Temps_sequence;Pixel_par_seconde
0;0.033452;6.657000;2295808922.938263
1;0.034603;6.886000;2219459773.453377
2;0.039940;7.948000;1922898842.476077
3;0.030955;6.160000;2481038961.038962
4;0.039889;7.938000;1925321239.606937
5;0.029161;5.803000;2633672238.497303
6;0.017824;3.547000;4308767972.934847
7;0.023794;4.735000;3227708553.326244
8;0.024678;4.911000;3112034208.918667
9;0.038352;7.632000;2002515723.270448
10;0.023633;4.703000;3249670423.134141
11;0.039744;7.909000;1932380831.963600
12;0.028945;5.760000;2653333333.333364
13;0.039824;7.925000;1928479495.268148
14;0.029261;5.823000;2624626481.195175
15;0.026799;5.333000;2865779111.194522
16;0.025503;5.075000;3011467980.295568
17;0.023864;4.749000;3218193303.853742
18;0.029040;5.779000;2644609794.082082
19;0.026327;5.239000;2917197938.537923
20;0.036915;7.346000;2080479172.338666
21;0.028960;5.763000;2651952108.277008
22;0.033231;6.613000;2311084228.035733
23;0.024578;4.891000;3124759762.829914
24;0.025141;5.003000;3054807115.730439
25;0.027704;5.513000;2772211137.312093
26;0.022683;4.514000;3385733274.258184
27;0.034337;6.833000;2236674959.753887
28;0.028799;5.731000;2666759727.796125
29;0.028814;5.734000;2665364492.500864
30;0.033935;6.753000;2263171923.589364
31;0.028678;5.707000;2677974417.381789
32;0.026151;5.204000;2936817832.436470
33;0.026035;5.181000;2949855240.300979
34;0.039764;7.913000;1931404018.703412
35;0.029050;5.781000;2643694862.480371
36;0.032357;6.439000;2373536263.394824
37;0.020211;4.022000;3799900546.991994
38;0.040688;8.097000;1887513894.034901
39;0.033508;6.668000;2292021595.680632
40;0.024327;4.841000;3157033670.729416
41;0.039709;7.902000;1934092634.776151
42;0.029503;5.871000;2603168114.460977
43;0.027714;5.515000;2771205802.356905
44;0.019196;3.820000;4000837696.335264
45;0.025101;4.995000;3059699699.699717
46;0.026960;5.365000;2848685927.307349
47;0.028583;5.688000;2686919831.223983
48;0.023688;4.714000;3242087399.237007
49;0.034065;6.779000;2254491812.951068
50;0.024950;4.965000;3078187311.176804
51;0.034920;6.949000;2199338034.249924
52;0.043839;8.724000;1751856946.354848
53;0.028472;5.666000;2697352629.721062
54;0.038724;7.706000;1983285751.362120
55;0.024618;4.899000;3119657072.872447
56;0.039789;7.918000;1930184389.996911
57;0.029040;5.779000;2644609794.082438
58;0.028925;5.756000;2655177206.394104
59;0.029839;5.938000;2573795890.873118
60;0.025040;4.983000;3067068031.306330
61;0.027653;5.503000;2777248773.396760
62;0.033849;6.736000;2268883610.450459
63;0.037638;7.490000;2040480640.854776
64;0.025372;5.049000;3026975638.740962
65;0.039849;7.930000;1927263556.116341
66;0.028382;5.648000;2705949008.499495
67;0.029397;5.850000;2612512820.511968
68;0.025884;5.151000;2967035527.080895
69;0.026774;5.328000;2868468468.469425
70;0.023719;4.720000;3237966101.697009
71;0.028829;5.737000;2663970716.402047
72;0.029181;5.807000;2631858102.291292
73;0.023467;4.670000;3272633832.977568
74;0.028965;5.764000;2651492019.430495
75;0.034080;6.782000;2253494544.382314
76;0.031693;6.307000;2423212303.788819
77;0.026598;5.293000;2887436236.538102
78;0.034156;6.797000;2248521406.503549
79;0.023965;4.769000;3204697001.467499
80;0.031538;6.276000;2435181644.360950
81;0.031834;6.335000;2412501973.166317
82;0.034482;6.862000;2227222384.145309
83;0.027261;5.425000;2817179723.502067
84;0.022201;4.418000;3459302851.971103
85;0.032045;6.377000;2396612827.348003
86;0.028889;5.749000;2658410158.289320
87;0.039769;7.914000;1931159969.673893
88;0.039799;7.920000;1929696969.696717
89;0.034482;6.862000;2227222384.145670
90;0.039724;7.905000;1933358633.775373
91;0.033246;6.616000;2310036275.695842
92;0.024307;4.837000;3159644407.690876
93;0.023302;4.637000;3295924088.852284
94;0.034704;6.906000;2213032145.961361
95;0.033196;6.606000;2313533151.678696
96;0.024090;4.794000;3187984981.225671
97;0.028779;5.727000;2668622315.347608
98;0.035030;6.971000;2192397073.590431
99;0.023387;4.654000;3283884830.254531
100;0.040317;8.023000;1904923345.382632
101;0.029553;5.881000;2598741710.594407
102;0.034276;6.821000;2240609881.249825
103;0.034613;6.888000;2218815331.010880
104;0.026367;5.247000;2912750142.939191
105;0.031588;6.286000;2431307667.833533
106;0.034452;6.856000;2229171528.586663
107;0.023623;4.701000;3251052967.453227
108;0.039864;7.933000;1926534728.349615
109;0.023482;4.673000;3270532848.278632
110;0.039854;7.931000;1927020552.264210
111;0.023824;4.741000;3223623708.078393
112;0.037020;7.367000;2074548662.954329
113;0.026503;5.274000;2897838452.787502
114;0.018286;3.639000;4199835119.540701
115;0.023427;4.662000;3278249678.249561
116;0.028754;5.722000;2670954211.812390
117;0.039673;7.895000;1935807473.085105
118;0.039658;7.892000;1936543335.022805
119;0.022171;4.412000;3464007252.945922
120;0.038955;7.752000;1971517027.863895
121;0.024764;4.928000;3101298701.299233
122;0.031367;6.242000;2448446010.892258
123;0.027623;5.497000;2780280152.812603
124;0.033196;6.606000;2313533151.681029
125;0.039452;7.851000;1946656476.883014
126;0.026291;5.232000;2921100917.433230
127;0.020141;4.008000;3813173652.696501
128;0.034487;6.863000;2226897858.078960
129;0.018372;3.656000;4180306345.734192
130;0.028970;5.765000;2651032090.199164
131;0.040286;8.017000;1906349008.358364
132;0.034327;6.831000;2237329819.938069
133;0.034201;6.806000;2245548045.841875
134;0.028990;5.769000;2649193967.760789
135;0.028849;5.741000;2662114614.178099
136;0.029005;5.772000;2647817047.817506
137;0.039839;7.928000;1927749747.728664
138;0.034221;6.810000;2244229074.889800
139;0.027910;5.554000;2751746489.016016
140;0.024472;4.870000;3138234086.245779
141;0.028990;5.769000;2649193967.758954
142;0.033829;6.732000;2270231729.055272
143;0.029859;5.942000;2572063278.358752
144;0.036774;7.318000;2088439464.333205
145;0.034734;6.912000;2211111111.110462
146;0.028673;5.706000;2678443743.427351
147;0.035171;6.999000;2183626232.319464
148;0.028312;5.634000;2712673056.442958
149;0.026864;5.346000;2858810325.476122
150;0.022106;4.399000;3474244146.399155
151;0.027633;5.499000;2779268957.993525
152;0.034327;6.831000;2237329819.939669
153;0.023995;4.775000;3200670157.067485
154;0.034241;6.814000;2242911652.478913
155;0.018402;3.662000;4173457127.252046
156;0.039714;7.903000;1933847905.857613
157;0.034668;6.899000;2215277576.461002
158;0.034307;6.827000;2238640691.372519
159;0.021955;4.369000;3498100251.774163
160;0.030111;5.992000;2550600801.067714
161;0.029231;5.817000;2627333677.152788
162;0.033804;6.727000;2271919131.856047
163;0.021915;4.361000;3504517312.541341
164;0.016688;3.321000;4601987353.206686
165;0.027638;5.500000;2778763636.363605
166;0.032859;6.539000;2337238109.802537
167;0.036764;7.316000;2089010388.190049
168;0.034372;6.840000;2234385964.913020
169;0.028950;5.761000;2652872765.146518
170;0.028879;5.747000;2659335305.376332
171;0.034342;6.834000;2236347673.398587
172;0.033915;6.749000;2264513261.222207
173;0.035025;6.970000;2192711621.231789
174;0.031000;6.169000;2477419354.838762
175;0.016090;3.202000;4773016864.457835
176;0.028573;5.686000;2687864931.411809
177;0.023633;4.703000;3249670423.135005
178;0.034392;6.844000;2233080070.134691
179;0.034513;6.868000;2225276645.310480
180;0.034221;6.810000;2244229074.889215
181;0.034030;6.772000;2256822209.096500
182;0.040407;8.041000;1900659121.996085
183;0.023387;4.654000;3283884830.254531
184;0.034839;6.933000;2204413673.734290
185;0.025286;5.032000;3037201907.789116
186;0.027553;5.483000;2787379171.985736
187;0.024377;4.851000;3150525664.811707
188;0.034814;6.928000;2206004618.938691
189;0.023422;4.661000;3278953014.372393
190;0.028633;5.698000;2682204282.205232
191;0.029724;5.915000;2583803888.418932
192;0.034804;6.926000;2206641640.195234
