Essai;Temps_frame;Temps_sequence;Pixel_par_seconde
0;0.157035;31.250000;489062400.000000
1;0.078518;15.625000;978124800.000000
2;0.078518;15.625000;978124800.000000
3;0.157035;31.250000;489062400.000000
4;0.157035;31.250000;489062400.000000
5;0.000000;0.000000;inf
6;0.235553;46.875000;326041600.000000
7;0.000000;0.000000;inf
8;0.078518;15.625000;978124800.000000
9;0.235553;46.875000;326041600.000000
10;0.235553;46.875000;326041600.000000
11;0.078518;15.625000;978124800.000000
12;0.078518;15.625000;978124800.000000
13;0.078518;15.625000;978124800.000000
14;0.392588;78.125000;195624960.000000
15;0.314070;62.500000;244531200.000000
16;0.078518;15.625000;978124800.000000
17;0.157035;31.250000;489062400.000000
18;0.078518;15.625000;978124800.000000
19;0.157035;31.250000;489062400.000000
20;0.157035;31.250000;489062400.000000
21;0.078518;15.625000;978124800.000000
22;0.000000;0.000000;inf
23;0.000000;0.000000;inf
24;0.078518;15.625000;978124800.000000
25;0.157035;31.250000;489062400.000000
26;0.078518;15.625000;978124800.000000
27;0.157035;31.250000;489062400.000000
28;0.078518;15.625000;978124800.000000
29;0.078518;15.625000;978124800.000000
30;0.078518;15.625000;978124800.000000
31;0.314070;62.500000;244531200.000000
32;0.157035;31.250000;489062400.000000
33;0.078518;15.625000;978124800.000000
34;0.000000;0.000000;inf
35;0.078518;15.625000;978124800.000000
36;0.157035;31.250000;489062400.000000
37;0.314070;62.500000;244531200.000000
38;0.078518;15.625000;978124800.000000
39;0.078518;15.625000;978124800.000000
40;0.078518;15.625000;978124800.000000
41;0.078518;15.625000;978124800.000000
42;0.078518;15.625000;978124800.000000
43;0.078518;15.625000;978124800.000000
44;0.078518;15.625000;978124800.000000
45;0.000000;0.000000;inf
46;0.000000;0.000000;inf
47;0.157035;31.250000;489062400.000000
48;0.157035;31.250000;489062400.000000
49;0.157035;31.250000;489062400.000000
50;0.078518;15.625000;978124800.000000
51;0.000000;0.000000;inf
52;0.235553;46.875000;326041600.000000
53;0.078518;15.625000;978124800.000000
54;0.000000;0.000000;inf
55;0.157035;31.250000;489062400.000000
56;0.078518;15.625000;978124800.000000
57;0.078518;15.625000;978124800.000000
58;0.078518;15.625000;978124800.000000
59;0.000000;0.000000;inf
60;0.157035;31.250000;489062400.000000
61;0.078518;15.625000;978124800.000000
62;0.078518;15.625000;978124800.000000
63;0.392588;78.125000;195624960.000000
64;0.078518;15.625000;978124800.000000
65;0.078518;15.625000;978124800.000000
66;0.000000;0.000000;inf
67;0.157035;31.250000;489062400.000000
68;0.000000;0.000000;inf
69;0.078518;15.625000;978124800.000000
70;0.000000;0.000000;inf
71;0.000000;0.000000;inf
72;0.235553;46.875000;326041600.000000
73;0.078518;15.625000;978124800.000000
74;0.157035;31.250000;489062400.000000
75;0.000000;0.000000;inf
76;0.000000;0.000000;inf
77;0.314070;62.500000;244531200.000000
78;0.157035;31.250000;489062400.000000
79;0.157035;31.250000;489062400.000000
80;0.078518;15.625000;978124800.000000
81;0.078518;15.625000;978124800.000000
82;0.157035;31.250000;489062400.000000
83;0.000000;0.000000;inf
